0,1
"Руски имигрант Иван Артјомушкин. Таа основната зграда која што гледате реклама „Пивара“ на плоштадот. Рубинова... ова палатата... Ристевичева палата, Русинот ја изградил. Значи кога ќе погледнете целиот центар, кај паркот нели знаете таа прекрасна зграда, пак Иван Артјомушкин ја изградил.","Надморската висина може да достигне две илјади метри и наклонот на искачување треба да е минимум шест проценти од вкупното растојание. За поедноставно да се разбере нештото, можам да дадам еден пример, односно еве на пример една трка од дваесет километри да биди, односно да важи како скај рејс,"
"Значи кога они дошле овде се нашле дека нема подготвени кадри. Нема кој да гради, нема кој технички да рачуна, нема кој да гради патишта, нема кој да предава дури во гимназија.","треба да има шест проценти наклон на искачување од тие дваесет километри, односно треба да има минимум илјада и двеста метри позитивна денивелација, односно искачување. Планинското трчање исто така вклучува делови од... односно не постои некоја конкретна разлика што би ги одделила, затоа што и во планински трки има вклучено такви технички секции и слично. Меѓутоа"
"И прво која сила ја искористиле? Ги искористиле руските имигранти и фактички меѓу двете светски војни кога ќе земете секој град од Македонија... Куманово, центар на Куманово изграден исто од руски архитект Антонов. Значи во секој сегмент од општество они остават својата трага. Но зошто вие не знаете за тие руски имигранти?","кога ги има овие специфични карактеристики тогаш влегува во таков тип на планинско трчање односно скај рејс или скај ранинг. Логичната претпоставка за каков и да е спортист е дека тој треба да тренира и генерална издржливост, но и за конкретен натпревар или настан. Како тренираат Антонио и Елена? Тренингот е поделен во неколку фази, односно не може да се започне директно со тренинг специфичен за таа трка што се спремаме."
"Бидејќи беше Коминформбиро, прогонувања, значи они првпат бегале од својата држава заради војната, вторпат избегале бидејќи ги истерале од овде и со ластикот избришале спомен за нив дека таквите луѓе постоеле.","Еве на пример сега заврши сезоната за 2023, сега следува за нас базен тренинг односно тренажен процес каде што сите тренинзи се на низок интензитет. Со тоа градиме една база."
"Ова е гласот на Лина Жила, Русинка која веќе долго живее во Македонија и се занимава со многу значајни истражувања за некогашната руска емиграција, но и со други поглавја од македонската историја. Во склоп на изложбата таа одржа предавање за студентите по етнологија и антропологија, чија снимка ја користиме тука. ‏Ако според нејзините зборови Марија Малахова не била „обичен“ руски имигрант, тогаш што била?","На таа база потоа додаваме малку поинтензивен тренинг и на крај иде специфичниот тренинг конкретно за таа трка каде што го симулираме теренот, симулираме тоа што ќе внесеме за време на трката, како ќе се одвива самата трка. Едноставно го симулираме сѐ она што сакаме да се случи на трката."
"Клучно за расветлување на нејзиното потекло излегло интервјуто на нејзиниот сопруг, емитувано од рускиот сервис на Радио „Слободна Европа“ на 6 мај 2004 г. Во него, тогаш 99-годишниот Георгиј Малахов, само една година пред својата смрт, раскажува за својата сопруга Марија и открива дека нејзиното моминско презиме било - Шпис. Ние почнуваме нашето истражување и не можеме никаде да ја најдеме.","Подготовките за трка сепак не вклучуваат само физички активности туку и многу пошироки подготовки. Треба да се познава теренот, да се предвидат можните предизвици, да се знае во што се влегува. Но како да предвидиш што може да се случи во тек на 20 или 30 саати на планина?"
"Ниту меѓу имиграција, ниту некој се сеќава, памти и така... И на крајот испаѓа дека таа не беше ниту Русинка, ниту презимето ѝ беше Малахова. Се работи за руска Германка или поточно на Германката родена во многу две богати фамилии кои што во сегашното пребројување на пари би биле милијардери.","Да, за секоја трка добиваме GPS фајл, односно GPX фајл кој што има исцртано рутата, каде што се знае по која патека ќе се оди, кога ќе биди искачувањето, на кои места ќе има контролни точки, на кои места ќе имаме окрепна станица нели кај што можи да се освежиме и слично."
"Значи тие држат најголемите фирми, најголемите кампањи во Русија. Една фамилија Шпис, нејзиниот татко, една фамилија Вогау, нејзината мајка. Капиталот е меѓународен. Нивните фирми се во Лондон, во Виена, во Париз, значи секаде низ светот. Она живее во раскошни услови","Конкретно за скај ранингот менталната подготовка, односно психичкиот дел не е толку битен, меѓутоа кај ултра трчањето затоа што исто тоа е една форма на планинско трчање каде што нештото може да трае 20 сати или 30 сати, таму треба малку повеќе од само физичката спремност. Затоа што за трчање од два до три сати физичкиот дел ќе го направи тоа да може лесно да го завршиме без да треба да ја надминеме таа граница нели каде што..."
"во две култури. Истовремено руска култура, германска култура. Од мало ги учат да пишува на руски, на германски. Играт со руски играчките, играт со германските играчките. Се шетаат низ светот како мали деца во Шведска, во Швајцарија и така натаму, бидејќи имаат роднини.","Вие така мислите. Ја петнаесет минути да трчам ментално ќе оболам, така што тоа е за вас кои што сте искусни во таа работа и викаш – е два саата, големо чудо. А всушност нели..."
"И наеднаш нивниот свет се руши. Во 1914 година почнува Првата светска војна и почнува прогонот. Сите Германци во Русија ги запалуват нивните имоти, им одземат","Зависи и со какво темпо трчаш тие два саата. Она што ми остави посебен впечаток е мотивацијата за нивното трчање. Секако, тоа е предизвик на издржливост и на работа на себе. Но тука има и друг момент кој повеќе има врска со убавината на глетките и на самото движење. После планинарењето сфатив дека движењето едноставно е потреба за мене, дека е нужна потреба и како преодна форма од"
"сите нивните средства, а нив ги интернират деветсто километри од кај Москва во страшни краишта каде ладно, каде гладно сите Германци бидејќи демек непријатели на рускиот народ.","планинарење едноставно ми го задоволува естетскиот сегмент од нештото. Планинското трчање беше многу блиску до планинарењето. Исто многу ме фасцинираше тоа што поминатото растојание е многу поголемо кога трчаме нели за разлика од тоа кога планинариме. Иако... Види и со кола е поголемо. Да, но во тој момент би ги изгубиле..."
"И одела Марија со своите два браќа, со својата мајка, со својот татко отпатува како интернирана и одлучи да си води дневник. И тоа што сакам да ви кажам колку е битно во себе да имате нешто што ќе води понатаму вашиот живот. Она како четиринаесет годишното девојче која што веќе од Русија ја истеруват во Германија си запишува во дневникот:","помалку работи би виделе попатно. А естетскиот... што значи естетскиот? Дека си на планина, дека е зелено, дека е зајдисонце, изгрејсонце, во таа смисла? Па првично нели бараме некоја форма на естетика во сѐ околу нас. Прво опкружувањето е такво, некогаш е сурово, не секогаш изгледа добро меѓутоа"
"„Сѐ што сакам од овој живот тоа е природа, слобода и уметноста. Сѐ друго за мене нема значење“. Она доаѓа во Германија, ги пречекуват со оркестар, им дават одма германско државјанство бидејќи они се потиснати Германци од Русија.","на некој начин го постигнуваме... Ако мора да е движење барем нека биде некоја естетска форма на движење. Небитно од кој аспект, нели тоа е субјективно каде што естетскиот дел може да биде различен. Дури и во сурови услови самото движење во некоја белина, самото креирање на некоја линија може да биде естетски."
"Но Марија си останува со тагата по Русија. Она цело време копнее по тоа детството, идеално детство што она поминала во Русија и ја идеализира руската култура. Она во Германија родителите гледаат колку она сака природа, ја запишуват во најбогатата, една од најбогатите школи, приватни школи, школа во Хаубинда.","Кои биле најубавите, а кои најтешките моменти со кои се соочиле?"
"Таа до сега постои школа, интернат во Хаубинда која што создава германскиот реформатор доктор Лиц. Доктор Лиц кажува дека најважното во општество ако ние сакаме да постигнеме убаво општество, тоа не се политички реформи. Тоа е воспитувањето на нашата душа. А нашата душа можеме да ја воспитаме по пат на радост и среќа.","Најдобро е нели кога се... кога излегува некаков видик, како што спомна изгрејсонце, зајдисонце, планини и слично. И какви пријателства стекнуваме за време на трките или на самиот тренинг. За животни многу често среќаваме срни, диви свињи, дури и мечка со мали мечиња која што воопшто не беше опасна иако такво мислење барем јас лично имав."
"А радост и среќа, тоа е нашиот труд. И затоа тој пропагандира селанскиот труд, поврзано со земја, поврзано со природа и кажува дека општество на иднината треба да се базира врз самопожртвуваноста, врз воодушевувањето, врз љубовта и врз сила, но сила на духот. И ги воспитуваат децата во таа насока, дека не се битно","Буквално нѐ игнорираше, ништо не реагираше. А лоши искуства јас лично немам. За среќа немам ни повреди за време на овие неколку години што трчам, пет – шест години. Инаку можам да спомнам како ете лошо искуство за непредвидени невремиња"
"кој си, а битно што правиш. Битно дали вложуваш дел од својата душа во тоа што правиш. И таква излегува Марија од ова школо. Марија или Мисја – прекар од детство која продолжила да го користи како уметничко име, и покрај сите премрежја низ кои поминува нејзиното семејство, продолжува да го учи она што најмногу го сака, уметноста.","кои што често се среќаваат особено на трки нели, зашто трката има одреден датум и време кога ќе се одржува и не секогаш може точно да се предвиди какво ќе биди времето. Во однос на тоа. Или исто како негативна страна може да биде некоја неконтролирана работа како што се на пример грчеви во нозе или слично. Другото мислам дека е сѐ позитивно."
"Тоа го прави и во Минхен, и во познатата Дрезденска академија за ликовни уметности и во Париз. На своите бројни патувања, во 1930, на 27-годишна возраст, во Естонија се запознава со Георгиј Малахов, татко на нејзиното дете, со кого најпрвин е во вонбрачна врска.","На моја страна како најтешки моменти, односно како најтешки делови во самото планинско трчање би ги издвоил тоа што..."
"Тоа можеби и би останало така доколку не се случел еден значаен историски настан. Еве извадок од нејзината автобиографија. Во 1939 година, кога почна војната Германија–Полска, сите Германци од балтичките земји почнаа да ги праќаат во Германија. Јас, плашејќи се дека ќе дојде ред и на мене и синот, стапив во контакт со таткото на детето и заминав во Југославија.","кога станува збор за некоја повреда која би нѐ лимитирала за време на тренажен... ако се случи за време на тренажен процес, нема да бидиме во можност да го направиме тренингот што сме го зацртале, што сме го испланирале, па со тоа мислими дека и самиот резултат на крај ќе биде многу полошо. Не знаеме кое ќе биди траењето на самата повреда. Пробуваме да најдеме начин да ја санираме меѓутоа со првиот тренинг сфаќаме дека таа се повторува и слично."
"Таму го регистрирав бракот со инженер Георгиј Малахов. На тој начин се ослободив од германскиот пасош и доброволно ја прифатив бесправната положба на руската емиграција. Местото на кое таа му се придружила на својот сопруг ѝ го понудило точно она што го сакала – мир, едноставен живот и можност да се занимава со својата уметност, фотографијата и сликарството.","Исто така го спомнав нели ултра трчањето, односно трчањето на долги дистанци, на трки кои што знаат да траат дури повеќе од триесет часа. После тие 25, 30 часа едноставно телото пробува да се самозаштити на секој можен начин па така предизвик е и внесувањето на храна, одредувањето на кое темпо е"
"Порече и Македонија во таа 1939 година била се уште далеку од европските воени премрежја. Георгиј Малахов тука дошол следејќи го татка си Александар и чичкото Роман. Александар, додека студирал на Московскиот универзитет дошол во допир со теориите на социјалистот Роберт Овен и станал приврзаник на идејата за самоодржлив живот во кооперативни задруги.","оптимално во тој момент. Затоа што некогаш може и самото тело да нѐ лимитира, на места каде што може да трчаме, ние одиме. И едноставно после толку сати сѐ е предизвик. Да се остане буден е предизвик едноставно и да се продолжи да се движи кон целта нели за оптимален резултат на крајот од нештото."
"Таткото две години студирал во московскиот универзитет, заради политичките протести го исклучуваат. Тој си одбира да отиде во Англија да проучува задругарството. Доаѓа после се враќа кај север... на север на Русија, тоа е Архангелск, таму многу ладно, одма да ви кажам и нема ништо освен шумите. И сите живеат од шумите. И тој предлага, создава првите задругарства на север на Русија.","Кога станува збор за убави моменти како што спомна Елена, тие се моменти што... неверојатни моменти, некое изгрејсонце или зајдисонце кога сме сами на некој планински врв е неопишливо. Тоа остава некои впечатци во нас шо не знам дали можам да ги опишам и така околу тоа. За животни да, среќаваме често животни ама тоа е нивна природна средина, ние сме натрапниците во случајот и гледаме"
"Потоа во емиграцијата после граѓанска војна се обидува за задругарство во таканаречена Закарпатска Русија. Тоа е исто спорна територија помеѓу Чехословачка, тогаш Чехословачка, помеѓу Унгарија и помеѓу Украина.","што е можно поетички да го поминиме нашиот пристап во нештото затоа што ние сме кај нив, а не тие кај нас. Сепак најфасцинантно од целиот разговор е кога Елена, а особено Антонио, зборуваат за должината на патеките и времето поминато во трчање."
Во градот Мукачево создава кооперација. Живее таму десет години со кооперација. Потоа почнува криза економска и они одат во Белград бидејќи во Белград кралот Александар создаде таква политика што руските имигранти се поддржуваат и затоа,"Да не беше ова аудио, туку видео подкаст, ќе ме гледавте како ги гледам со неверување и се фаќам за глава. Најдолгата стаза сепак не значи дека е најтешка. Најдолгата досега што ја имам истрчано е 170 км со некои 7000 м кумулативно искачување. За колку време? Тоа беше 33 сати. Со одмор од колку? Одмор... немав конкретен одмор да спијам или нешто меѓутоа"
"многу руски имигранти мислат дека Југославија тоа е спас од нивните беди. Кога доаѓат овде, разбираат во Белград дека и тоа не е точно, но тој не се откажува од идеја. Одбира едно место кое што апсолутно запустено во Босна... Босна, Србија, Мокра Гора и таму прави задруга.","на самите окрепни станици се задржував поготово во последните саати, затоа што имав и некоја мала повреда за време на трката, се задржував по 10 – 15 минути, гледав што повеќе да останам затоа што окрепните станици беа во некои шатори каде што беше малку потопло од надворешната температура. Надвор имаше дожд, мраз и така не ни се излегува од таа комфорна зона кон финишот. Меѓутоа во еден момент... А каде беше ова? Ова беше на Истра конкретно."
"Но побогатите го истеруваат, го прогонуваат и затоа тој вика за себе: ако ќе отидам во планини во Македонија каде нема никој, нема капитал, таму ќе можам да создадам задруга. И тој затоа се преселува во планините во Поречие каде навистина немаше конкуренција. Имаше друга задруга која што се обидуваат Србите да создадат, но таа не успева. И таму станува пропагатор на задругарството.","И која била до сега најтешката стаза? Таа во Истра? Па не, би ја спомнал како Елена што ја спомна, настанот UTMB, тоа е на француски Алпи, се тргнува од Курмаер, од Италија, се завршува во Франција. Прилично техничка стаза беше, прилично долга. Тоа е и моето најдолго трчање до сега. Тоа траеше 36 сати."
"‏Александар Егорович Малахов со брат му во Поречје направиле глинена печка за производство на катран. Но наскоро тука дошле и сопругата на Александар, Евдокија, и три од нивните пет деца: Георгиј, Вјачеслав и Александар Александрович кого го викаат Саша. Со него пристигнува и втората значајна жена во оваа приказна, неговата сопруга Светлана Малахова.","Многу поразличен терен од тој што го имаме тука, што може да го симулираме и затоа траеше толку долго, едноставно многу потехнички терен иако дистанцата не беше долга колку таа на Истра меѓутоа имаше повеќе кумулативно искачување и траеше повеќе. И потешка. Мојата најдолга беше на UTMB OCC,"
"На овој семеен портрет му недостасуваат уште еден брат, Лев и сестрата Галина, кои не играат улога во македонскиот дел од приказната. Еве како го опишува нивниот дом Саша, во своето повеќетомно дело „Спомени на еден геолог“. На превалецот Чуло има неколку борови дрва и сенка, малку и трева. Од таму до дома, до куќата, има околу 2 км. Наоколу шумат шумите, боровите.",57 км со 3.500 позитивна денивелација искачување. Тоа е настан кој што се смета за... можеби не најголем ама еден од поголемите настани каде што има одредени услови за да учествуваш на тој настан.
"Одеднаш борот завршува, пред нас во устието на долината се гледа малата куќа и смоларната печка. Е тоа е живеалиштето на татко ми и на чичко Роман, а сега и наше. Погоре, на косо полегната падина, се наоѓа селото Требовље и една мала црквичка. „Фабрика катранка“ − е така селаните ја нарекуваат печката за варење смола,","Има различни дистанци на трки, односно има 57, 100 км и 160 или 170 км. Сега за да се учествува на овој настан треба да имаш исполнето услови за (нејасно) на UTMB индекс. Такви поени се собираат на некои трки кои што ги има и кај нас или на поголемите трки најчесто."
"иако само двајца работат во оваа „фабрика“ − татко ми и чичо Роман. Веднаш по пристигнувањето, почнавме да ја шириме куќата, да доградуваме соби и за нас. Го користиме локалното искуство. Три вертикални и три греди за прицврстување, во празнините меѓу нив поставуваме колци.","Така да ако имаш некој минимум кој што го исполнуваш за да учествуваш на трката, можеш, меѓутоа има други услови на пример да си во неколку најдобри тркачи во земјата во која што си роден или да имаш некаков подиум на некои трки од светските серии и слично."
"Просторот меѓу колците го исплетуваме со гранки и ги премачкуваме со глина, ги рамниме и варосуваме – и ете, ѕидовите се готови. Успеавме да направиме прозорци, арно ама со вратите не се снајдовме, закачивме завеса за почеток. Спалната соба и работниот кабинет се готови. На масата ги запишувам моите геолошки набљудувања.","Човек и кога пешачи сака да си го исполни времето, или со слушање музика или подкасти или просто со внатрешни монолози. Што размислуваат тие додека трчаат? Мислите се најразлични од тоа... Првично значи сме концентрирани на нашиот перформанс. Тоа е кога сме свежи, кога мислиме како ќе ја завршиме трката,"
"‏Во блиското село Борова Брезница Георгиј Малахов oтвора уште една „фабрика“ за терпентин и неговите деривати. Селаните го поздравуваат ваквото ширење на дејноста, бидејќи им одговара некој да ги откупува нивните дрва. Но категорично одбиваат да организираат работни задруги, нешто што подоцна ќе им го наметне новата социјалистичка власт.","внимаваме на брзината со која што се движиме. Исто внимаваме на менаџирањето на тоа што ќе внесеме на следна контролна станица. Како што минуваат сатите, мислите секако се менуваат во случај да се појави некоја болка или некоја... нешто ситно што наговестува на некоја повреда тогаш нормално мислите се насочени таму, а во... Секако знае и да... така малку и да... неколку сати да поминат од самото трчање во некои поопуштени размислувања. Едноставно нема нешто конкретно на кое што се насочуваме затоа што никогаш не се насочуваме кон тоа да се фокусираме само на финиш линијата и ништо друго. Едноставно уживаме во самиот терен, во самото... Значи и да не победите, не сте разочарани. Да. Во секој случај."
"На фотографиите од овој период семејниот живот на Малахови делува идилично. Се сервира чај од огромен руски самовар, се берат печурки рујници, се ловат риби во реката Треска. Чест лик на нив е и верното куче Бојко.","Како реагираат на ова нивно хоби пријателите, колегите и семејството?"
"Но поради причини кои можеме само да ги замислуваме, зимата 1944-та Марија го напушта Порече и со синот Алексеј почнува да живее со деверот Вјачеслав во населбата Ханриево, денешен Ѓорче Петров.","Па на старт кај мене не беше баш прифатено затоа што - нема друга работа па излегол ја трча цела планина. Меѓутоа после тоа... едноставно тоа не влијаеше врз мене. Околу колегите секогаш се фасцинирани од тоа што го правиме. Ги раскажуваме нашите приказни, случки. Некогаш сме можда и досадни и наметливи со приказните меѓутоа тие инсистираат да ги слушнат и слично. Генерално сме супер прифатени од околината. Ја имаме поддршката едноставно за тоа што го правиме. Да, меѓутоа иако мислам дека... да, сме прифатени, мислам дека поголем дел од нив не се ни свесни за сериозноста на спортот."
"Ангажирана е во тогашниот Етнолошки музеј на град Скопје како сликар и на ова место останува до 1 ноември 1962, што го дознаваме од сочувана потврда издадена од оваа институција, потпишана од тогашната директорка, Вера Кличкова. Марија била дел од тим илустратори задолжени да изработат цртежи во акварел или темпера за секој предмет во сопственост на музејот, кој подоцна се заменил со фотографија.",Сигурно. Затоа што тој што не пробал треба да има само
"Токму од овој период е и оној прекрасен албум што го спомнавме на почетокот на епизодата од 1963, составен од повеќе од 40 панели народни носии во боја, детално исцртани со слободната рака на Марија. Долго време заборавени или намерно игнорирани, тие беа прв пат изложени на изложба во Музејот на град Скопје во 1991 година. Ништо подобро не поминале и нејзините дела во Русија.","добра фантазија да замисли што тоа подразбира. Да, зошто навидум добро звучи како - еј трчаш по планини, тоа е супер. Ама трчаш веќе две вечери не спиеш, не е баш сеедно. Кога некој од мирно седење, тотално неупатен во скајранингот, би сакал да почне да се занимава со вакво трчање, од каде би требало да тргне?"
"‏Биле заборавени нејзините слики, дури сакале да ги фрлат од музејот бидејќи не здогледувале нивната ценост кога се појавиле фотографии во боја. Да, бидејќи зошто да пресликуват кога имаш фотографија во боја и ги правеле. За Марија така, сите заборавиле за нејзе. И Русите и Германците и Македонците. Но","Планинарењето е многу добар влез во нештото затоа што нели се врви по истата патека како и планинското трчање меѓутоа на многу понизок интензитет. Не се брза нигде. Значи прва фаза кроце. Да. И после тоа... После се убрзува, т-к, т-к, т-к. Кога ќе ни станат спори планинските маршути, тогаш преминуваме кон планинско трчање."
"чекор по чекор нејзиното дело како по чудо излегувало. Еве Јасминка Намичева ги пронашла, направила изложбата и од таму она потцртала дека не само Марија Малахова, но уште имаше една Русинка, Олга Бенсон што документирала тие костуми и предмети.","А имате некоја ултимативна цел – е тоа да го направам и да сум раат? Па немаме некоја таква. Да, целите ги поставуваме како на... едноставно имаме зацртано што би правеле следната година меѓутоа не е тоа целта. Целта е да се помине времето во планина затоа што на крај од денот ние не... трките не се ултимативно нешто во сето ова туку поминатото време во тренинг во сето тоа."
"Но има уште нешто. Во Русија на пример она продала своите фотографии бидејќи она беше не само истакнат сликар, но стана и истакнат фотограф, етнолошки фотограф. Она правеше етнолошките слики. Нејзини етнолошките слики за руските предели пред Печора, тоа на северот на Русија, меѓу Естонија и Русија биле заборавени","Затоа што често одиме дури настрана, патуваме настрана само за да искачиме некој планински врв иако сме можеле тренингот да го направиме пократко и слично. Во викенд често одиме на повисоки планини каде што треба нели да се качиме во кола, да поседиме уште некој сат во возење да поминиме, само за да стигнеме до одредена дестинација затоа што сакаме да искачиме некој врв или поминеме некој дел од планината."
и наеднаш ги откриват случајно апсолутно деведесет и шест слики само 2017 година. Така со Марија се случува сѐ чекор по чекор откривање и мислам дека она би се радувала дека вие дошле и ќе видите тоа што она оставила после себе,"Велат, има два типа на трчачи. Едните бегаат од нешто, другите трчаат кон нешто. Од кој тип се Елена и Антонио? Па не би рекла дека бегаме од нешто. Ама трчаме нели, трчаме да се подобриме себеси нормално, во секој поглед. Тоа. Не гледам причина од што би бегала."
"и нејзините слики едни и нејзините слики други, другите слики од... таму сѐ е посочено кое од Музеј на Македонија, кое што од Музеј на Војводина или... и тие што останале кај нејзината внука во Америка... Бидејќи ја канеле да живее во Америка, таму живеела нејзина мајка и нејзиниот брат,","Да, јас не би го дефинирал трчањето како бегање од нешто или трчање кон нешто. Едноставно ако... како што спомнав ако движењето е нужна потреба тогаш барем нека биде естетски на повисоко ниво, односно според мое субјективно мислење нека биде планиско трчање."
"но она се откажала. Она одбрала својот пат, тој што е едноставен, тој што за нејзе одговараше, патот на своето творештво, тоа што она го сакаше. ‏Во еден момент, следејќи го тој пат, Марија одлучува да не го прифати југословенското државјанство и да замине за Советскиот Сојуз, поточно за Естонија. Вака ја образложува својата одлука во автобиографијата.","Драго ми е што патеките по кои Елена и Антонио трчаат, а јас бавно одам, се споија. Секогаш кога ќе стигнат на врвот на некоја планина, со задоволство ќе им мавтам од долу. Jaс сум Илина Јакимовска. Ја слушавте 31-та епизода од подкастот „Обични луѓе“, волонтерски проект за животни стории на необични луѓе, професии и хобија. Аудио монтажа: Бојан Угриновски. Целосен транскрипт и повеќе епизоди на нашиот сајт obicniluge.mk."
"Ми здодеа цел живот да бидам бесправен странец, да немам свој дом и услови за живот и работа како сликар. Кога во јули 1963 година при катастрофалниот земјотрес во Скопје ние го изгубивме станот и дел од предметите, а сами за чудо останавме живи, јас на ниту еден начин веќе не сакав да останам таму и му се обратив за помош на советскиот конзул.","Ако оваа епизода ве мотириваше да облечете патики и да истрчате еден круг низ населба, оваа е омилената песна на Елена за на слушалки, со симболичен наслов – Бестрашна."
"Ми беше доделена парична помош, а освен тоа конзулот од свое име ми ја обезбеди визата за Советскиот Сојуз. Бидејќи пријателите кои веднаш се согласија да ме прифатат во прво време, а живееа во Талин, јас дојдов тука.",
"Веднаш ми издадоа внатрешен советски пасош, а по некое време по директива ми доделија стан и дозвола за постојан престој. ‏Всушност, токму спомнатиот албум со народни носии од Македонија ќе и овозможи на Марија да се стекне со титула национален уметник и со минимална, но сепак неопходна пензија. Во препораката за истото од тамошен професор се вели: Ја препорачувам Марија Романовна Малахова за член во Сојузот на советските уметници на Естонија.",
"Скиците на македонските национални носии со кои јас располагам направени од неа се на високо уметничко ниво. Искрено кажано, на човек не му се верува дека така може да се слика со раце. Од Службениот лист кој таа го пополнувала за добивање на советското државјанство дознаваме како гледала на себе во тоа време. Место на раѓање? Москва. Националност? Русинка.",
"Социјално потекло: Буржуаско. Партиска припадност? Беспартијна. Дали сте член на Комсомолот, од кое време и број на членска карта? Не сум член. Имате ли партиски казни? Немам. Какви владини награди имате? Немам. Семејна положба?",
